           2 ,          16 ,           0 ,
           1 ,           3 ,           0 ,
           2 ,           4 ,          18 ,
           3 ,           5 ,           0 ,
           4 ,           6 ,          20 ,
           5 ,           7 ,           0 ,
           6 ,           8 ,          22 ,
           7 ,           9 ,           0 ,
           8 ,          10 ,          24 ,
           9 ,          11 ,           0 ,
          10 ,          12 ,          26 ,
          11 ,          13 ,           0 ,
          12 ,          14 ,          28 ,
          13 ,          15 ,           0 ,
          14 ,           0 ,           0 ,
          17 ,           1 ,           0 ,
          16 ,          18 ,          32 ,
          17 ,          19 ,           3 ,
          18 ,          20 ,          34 ,
          19 ,          21 ,           5 ,
          20 ,          22 ,          36 ,
          21 ,          23 ,           7 ,
          22 ,          24 ,          38 ,
          23 ,          25 ,           9 ,
          24 ,          26 ,          40 ,
          25 ,          27 ,          11 ,
          26 ,          28 ,          42 ,
          27 ,          29 ,          13 ,
          28 ,          30 ,          44 ,
          29 ,           0 ,           0 ,
          32 ,          46 ,           0 ,
          31 ,          33 ,          17 ,
          32 ,          34 ,          48 ,
          33 ,          35 ,          19 ,
          34 ,          36 ,          50 ,
          35 ,          37 ,          21 ,
          36 ,          38 ,          52 ,
          37 ,          39 ,          23 ,
          38 ,          40 ,          54 ,
          39 ,          41 ,          25 ,
          40 ,          42 ,          56 ,
          41 ,          43 ,          27 ,
          42 ,          44 ,          58 ,
          43 ,          45 ,          29 ,
          44 ,           0 ,           0 ,
          47 ,          31 ,           0 ,
          46 ,          48 ,          62 ,
          47 ,          49 ,          33 ,
          48 ,          50 ,          64 ,
          49 ,          51 ,          35 ,
          50 ,          52 ,          66 ,
          51 ,          53 ,          37 ,
          52 ,          54 ,          68 ,
          53 ,          55 ,          39 ,
          54 ,          56 ,          70 ,
          55 ,          57 ,          41 ,
          56 ,          58 ,          72 ,
          57 ,          59 ,          43 ,
          58 ,          60 ,          74 ,
          59 ,           0 ,           0 ,
          62 ,          76 ,           0 ,
          61 ,          63 ,          47 ,
          62 ,          64 ,          78 ,
          63 ,          65 ,          49 ,
          64 ,          66 ,          80 ,
          65 ,          67 ,          51 ,
          66 ,          68 ,          82 ,
          67 ,          69 ,          53 ,
          68 ,          70 ,          84 ,
          69 ,          71 ,          55 ,
          70 ,          72 ,          86 ,
          71 ,          73 ,          57 ,
          72 ,          74 ,          88 ,
          73 ,          75 ,          59 ,
          74 ,           0 ,           0 ,
          77 ,          61 ,           0 ,
          76 ,          78 ,          92 ,
          77 ,          79 ,          63 ,
          78 ,          80 ,          94 ,
          79 ,          81 ,          65 ,
          80 ,          82 ,          96 ,
          81 ,          83 ,          67 ,
          82 ,          84 ,          98 ,
          83 ,          85 ,          69 ,
          84 ,          86 ,         100 ,
          85 ,          87 ,          71 ,
          86 ,          88 ,         102 ,
          87 ,          89 ,          73 ,
          88 ,          90 ,         104 ,
          89 ,           0 ,           0 ,
          92 ,         106 ,           0 ,
          91 ,          93 ,          77 ,
          92 ,          94 ,         108 ,
          93 ,          95 ,          79 ,
          94 ,          96 ,         110 ,
          95 ,          97 ,          81 ,
          96 ,          98 ,         112 ,
          97 ,          99 ,          83 ,
          98 ,         100 ,         114 ,
          99 ,         101 ,          85 ,
         100 ,         102 ,         116 ,
         101 ,         103 ,          87 ,
         102 ,         104 ,         118 ,
         103 ,         105 ,          89 ,
         104 ,         120 ,           0 ,
          91 ,         107 ,           0 ,
         106 ,         108 ,         122 ,
          93 ,         107 ,         109 ,
         108 ,         110 ,         124 ,
          95 ,         109 ,         111 ,
         110 ,         112 ,         126 ,
          97 ,         111 ,         113 ,
         112 ,         114 ,         128 ,
          99 ,         113 ,         116 ,
           0 ,           0 ,           0 ,
         101 ,         114 ,         117 ,
         116 ,         118 ,         132 ,
         103 ,         117 ,         119 ,
         118 ,         120 ,         134 ,
         105 ,         119 ,           0 ,
         122 ,         136 ,           0 ,
         107 ,         121 ,         123 ,
         122 ,         124 ,         138 ,
         109 ,         123 ,         125 ,
         124 ,         126 ,         140 ,
         111 ,         125 ,         127 ,
         126 ,         128 ,         142 ,
         113 ,         127 ,         131 ,
           0 ,           0 ,           0 ,
           0 ,           0 ,           0 ,
         128 ,         132 ,         146 ,
         117 ,         131 ,         133 ,
         132 ,         134 ,         148 ,
         119 ,         133 ,         135 ,
         134 ,         150 ,           0 ,
         121 ,         137 ,           0 ,
         136 ,         138 ,         152 ,
         123 ,         137 ,         139 ,
         138 ,         140 ,         154 ,
         125 ,         139 ,         141 ,
         140 ,         142 ,         156 ,
         127 ,         141 ,         143 ,
         142 ,         146 ,         158 ,
           0 ,           0 ,           0 ,
           0 ,           0 ,           0 ,
         131 ,         143 ,         147 ,
         146 ,         148 ,         162 ,
         133 ,         147 ,         149 ,
         148 ,         150 ,         164 ,
         135 ,         149 ,           0 ,
         152 ,         166 ,           0 ,
         137 ,         151 ,         153 ,
         152 ,         154 ,         168 ,
         139 ,         153 ,         155 ,
         154 ,         156 ,         170 ,
         141 ,         155 ,         157 ,
